DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
20-Apr-2026,EQ,"5,736.00","5,762.50","5,640.50","5,735.50","5,715.00","5,700.00","5,695.34","6,336.00","5,276.50",610941,"3,47,95,18,050.50",43819
17-Apr-2026,EQ,"5,601.50","5,750.00","5,568.50","5,586.00","5,739.00","5,735.50","5,695.67","6,336.00","5,276.50",345936,"1,97,03,36,102.50",36481
16-Apr-2026,EQ,"5,640.00","5,705.50","5,534.50","5,654.50","5,600.00","5,586.00","5,595.67","6,336.00","5,276.50",455115,"2,54,66,72,290.50",36104
15-Apr-2026,EQ,"5,670.00","5,724.00","5,600.50","5,589.00","5,665.00","5,654.50","5,649.96","6,336.00","5,276.50",542939,"3,06,75,81,039.00",40171
13-Apr-2026,EQ,"5,526.50","5,613.00","5,444.00","5,557.50","5,570.00","5,589.00","5,564.27","6,336.00","5,276.50",350782,"1,95,18,44,051.50",34935
10-Apr-2026,EQ,"5,500.00","5,570.00","5,405.00","5,475.00","5,565.50","5,557.50","5,512.33","6,336.00","4,605.05",339513,"1,87,15,06,729.50",30892
09-Apr-2026,EQ,"5,620.00","5,659.50","5,430.50","5,594.50","5,470.00","5,475.00","5,513.00","6,336.00","4,605.05",624921,"3,44,51,90,059.00",45854
08-Apr-2026,EQ,"5,698.50","5,698.50","5,556.00","5,542.00","5,599.00","5,594.50","5,614.97","6,336.00","4,605.05",482250,"2,70,78,18,077.50",49614
07-Apr-2026,EQ,"5,493.00","5,552.50","5,384.00","5,535.00","5,530.00","5,542.00","5,499.48","6,336.00","4,605.05",204113,"1,12,25,15,402.00",34376
06-Apr-2026,EQ,"5,420.00","5,548.00","5,402.00","5,442.00","5,538.50","5,535.00","5,487.33","6,336.00","4,605.05",228390,"1,25,32,50,466.00",30956
02-Apr-2026,EQ,"5,460.00","5,471.00","5,351.50","5,474.00","5,469.50","5,442.00","5,409.10","6,336.00","4,605.05",444248,"2,40,29,81,384.50",54662
01-Apr-2026,EQ,"5,520.00","5,538.00","5,433.50","5,423.00","5,460.00","5,474.00","5,477.86","6,336.00","4,605.05",252740,"1,38,44,73,177.50",29606
30-Mar-2026,EQ,"5,480.00","5,533.00","5,364.50","5,500.00","5,419.50","5,423.00","5,437.31","6,336.00","4,605.05",783793,"4,26,17,23,080.50",51437
27-Mar-2026,EQ,"5,600.00","5,627.00","5,483.00","5,647.00","5,501.50","5,500.00","5,527.53","6,336.00","4,605.05",378825,"2,09,39,66,909.50",47458
25-Mar-2026,EQ,"5,536.50","5,737.50","5,536.50","5,513.50","5,645.50","5,647.00","5,674.58","6,336.00","4,605.05",342559,"1,94,38,79,990.00",44631
24-Mar-2026,EQ,"5,590.00","5,600.00","5,404.50","5,490.00","5,528.00","5,513.50","5,487.37","6,336.00","4,605.05",542905,"2,97,91,22,585.00",44637
23-Mar-2026,EQ,"5,590.00","5,590.50","5,475.50","5,618.50","5,476.00","5,490.00","5,521.55","6,336.00","4,605.05",316325,"1,74,66,03,335.50",38282
